i,T,Qmin
410,1.534500,16.0
411,1.534500,16.0
412,1.534500,16.0
413,1.534500,16.0
414,1.534500,16.0
415,1.534500,16.0
416,1.534500,16.0
417,1.534500,16.0
418,1.534500,16.0
419,1.534500,15.0
420,1.534500,15.0
421,1.534500,15.0
422,1.534500,15.0
423,1.534500,15.0
424,1.534500,15.0
425,1.534500,15.0
426,1.534500,15.0
427,1.534500,15.0
428,1.534500,15.0
429,1.534500,15.0
430,1.534500,15.0
431,1.534500,15.0
432,1.534500,15.0
433,1.534500,15.0
434,1.534500,15.0
435,1.534500,15.0
436,1.534500,15.0
437,1.534500,15.0
438,1.534500,15.0
439,1.534500,15.0
440,1.534500,15.0
441,1.534500,15.0
442,1.534500,15.0
443,1.534500,15.0
444,1.534500,15.0
445,1.534500,15.0
446,1.534500,15.0
447,1.534500,15.0
448,1.534500,15.0
449,1.534500,15.0
450,1.534500,15.0
451,1.534500,15.0
452,1.534500,15.0
453,1.534500,15.0
454,1.534500,15.0
455,1.534500,15.0
456,1.534500,15.0
457,1.534500,15.0
458,1.534500,15.0
459,1.534500,15.0
460,1.534500,15.0
461,1.534500,15.0
462,1.534500,15.0
463,1.534500,15.0
464,1.534500,15.0
465,1.534500,15.0
466,1.534500,15.0
467,1.534500,15.0
468,1.534500,15.0
469,1.534500,15.0
470,1.534500,15.0
471,1.534500,15.0
472,1.534500,15.0
473,1.534500,15.0
474,1.534500,15.0
475,1.534500,15.0
476,1.534500,15.0
477,1.534500,15.0
478,1.534500,15.0
479,1.534500,15.0
480,1.534500,15.0
481,1.534500,15.0
482,1.534500,15.0
483,1.534500,15.0
484,1.534500,15.0
485,1.534500,15.0
486,1.534500,15.0
487,1.534500,15.0
488,1.534500,15.0
489,1.534500,15.0
490,1.534500,15.0
491,1.534500,15.0
492,1.534500,15.0
493,1.534500,15.0
494,1.534500,15.0
495,1.534500,15.0
496,1.534500,15.0
497,1.534500,15.0
498,1.534500,15.0
499,1.534500,15.0
500,1.534500,15.0
501,1.534500,15.0
502,1.534500,15.0
503,1.534500,15.0
504,1.534500,15.0
505,1.534500,15.0
506,1.534500,15.0
507,1.534500,15.0
508,1.534500,15.0
509,1.534500,15.0
510,1.534500,15.0
511,1.534500,15.0
512,1.534500,15.0
513,1.534500,15.0
514,1.534500,15.0
515,1.534500,15.0
516,1.534500,15.0
517,1.534500,15.0
518,1.534500,15.0
519,1.534500,15.0
520,1.534500,15.0
521,1.534500,15.0
522,1.534500,15.0
523,1.534500,15.0
524,1.534500,15.0
525,1.534500,15.0
526,1.534500,15.0
527,1.534500,15.0
528,1.534500,15.0
529,1.534500,15.0
530,1.534500,15.0
531,1.534500,15.0
532,1.534500,15.0
533,1.534500,15.0
534,1.534500,15.0
535,1.534500,15.0
536,1.534500,15.0
537,1.534500,15.0
538,1.534500,15.0
539,1.534500,15.0
540,1.534500,15.0
541,1.534500,15.0
542,1.534500,15.0
543,1.534500,15.0
544,1.534500,15.0
545,1.534500,15.0
546,1.534500,15.0
547,1.534500,15.0
548,1.534500,15.0
549,1.534500,15.0
550,1.534500,15.0
551,1.534500,15.0
552,1.534500,15.0
553,1.534500,15.0
554,1.534500,15.0
555,1.534500,15.0
556,1.534500,15.0
557,1.534500,15.0
558,1.534500,15.0
559,1.534500,15.0
560,1.534500,15.0
561,1.534500,15.0
562,1.534500,15.0
563,1.534500,15.0
564,1.534500,15.0
565,1.534500,15.0
566,1.534500,15.0
567,1.534500,15.0
568,1.534500,15.0
569,1.534500,15.0
570,1.519155,15.0
571,1.519155,15.0
572,1.519155,15.0
573,1.519155,15.0
574,1.519155,15.0
575,1.519155,15.0
576,1.519155,15.0
577,1.519155,15.0
578,1.519155,15.0
579,1.519155,15.0
580,1.519155,15.0
581,1.519155,15.0
582,1.519155,15.0
583,1.519155,15.0
584,1.519155,15.0
585,1.519155,15.0
586,1.519155,15.0
587,1.519155,15.0
588,1.519155,15.0
589,1.519155,15.0
590,1.519155,15.0
591,1.519155,15.0
592,1.519155,15.0
593,1.519155,15.0
594,1.519155,15.0
595,1.519155,15.0
596,1.519155,15.0
597,1.519155,15.0
598,1.519155,15.0
599,1.519155,15.0
600,1.519155,15.0
601,1.519155,15.0
602,1.519155,15.0
603,1.519155,15.0
604,1.519155,15.0
605,1.519155,15.0
606,1.519155,15.0
607,1.519155,15.0
608,1.519155,15.0
609,1.519155,15.0
610,1.519155,15.0
611,1.519155,15.0
612,1.519155,15.0
613,1.519155,15.0
614,1.519155,15.0
615,1.519155,15.0
616,1.519155,15.0
617,1.519155,15.0
618,1.519155,15.0
619,1.519155,15.0
620,1.519155,15.0
621,1.519155,15.0
622,1.519155,15.0
