i,T,Qmin
396,1.386000,15.0
397,1.386000,15.0
398,1.386000,15.0
399,1.386000,15.0
400,1.386000,15.0
401,1.386000,15.0
402,1.386000,15.0
403,1.386000,15.0
404,1.386000,15.0
405,1.386000,15.0
406,1.386000,15.0
407,1.386000,15.0
408,1.386000,15.0
409,1.386000,15.0
410,1.386000,15.0
411,1.386000,15.0
412,1.386000,15.0
413,1.386000,15.0
414,1.386000,15.0
415,1.386000,15.0
416,1.386000,15.0
417,1.386000,15.0
418,1.386000,15.0
419,1.386000,15.0
420,1.386000,15.0
421,1.386000,15.0
422,1.386000,15.0
423,1.386000,15.0
424,1.386000,15.0
425,1.386000,15.0
426,1.386000,15.0
427,1.386000,15.0
428,1.386000,15.0
429,1.386000,15.0
430,1.386000,15.0
431,1.386000,15.0
432,1.386000,15.0
433,1.386000,15.0
434,1.386000,15.0
435,1.386000,15.0
436,1.386000,15.0
437,1.386000,15.0
438,1.386000,15.0
439,1.386000,15.0
440,1.386000,15.0
441,1.386000,15.0
442,1.386000,15.0
443,1.386000,15.0
444,1.386000,15.0
445,1.386000,15.0
446,1.386000,15.0
447,1.386000,15.0
448,1.386000,15.0
449,1.386000,15.0
450,1.386000,15.0
451,1.386000,15.0
452,1.386000,15.0
453,1.386000,15.0
454,1.386000,15.0
455,1.386000,15.0
456,1.386000,15.0
457,1.386000,15.0
458,1.386000,15.0
459,1.386000,15.0
460,1.386000,15.0
461,1.386000,15.0
462,1.386000,15.0
463,1.386000,15.0
464,1.386000,15.0
465,1.386000,15.0
466,1.386000,15.0
467,1.386000,15.0
468,1.386000,15.0
469,1.386000,15.0
470,1.386000,15.0
471,1.386000,15.0
472,1.386000,15.0
473,1.386000,15.0
474,1.386000,15.0
475,1.386000,15.0
476,1.386000,15.0
477,1.386000,15.0
478,1.386000,15.0
479,1.386000,15.0
480,1.386000,15.0
481,1.386000,15.0
482,1.386000,15.0
483,1.386000,15.0
484,1.386000,15.0
485,1.386000,15.0
486,1.386000,15.0
487,1.386000,15.0
488,1.386000,15.0
489,1.386000,15.0
490,1.386000,15.0
491,1.386000,15.0
492,1.386000,15.0
493,1.386000,15.0
494,1.386000,15.0
495,1.386000,15.0
496,1.386000,15.0
497,1.386000,15.0
498,1.386000,15.0
499,1.386000,15.0
500,1.386000,15.0
501,1.386000,15.0
502,1.386000,15.0
503,1.386000,15.0
504,1.386000,15.0
505,1.386000,15.0
506,1.386000,15.0
507,1.386000,15.0
508,1.386000,15.0
509,1.386000,15.0
510,1.386000,15.0
511,1.386000,15.0
512,1.386000,15.0
513,1.386000,15.0
514,1.386000,15.0
515,1.386000,15.0
516,1.386000,15.0
517,1.386000,15.0
518,1.386000,15.0
519,1.386000,15.0
520,1.386000,15.0
521,1.386000,15.0
522,1.386000,15.0
523,1.386000,15.0
524,1.386000,15.0
525,1.386000,15.0
526,1.386000,15.0
527,1.386000,15.0
528,1.386000,15.0
529,1.386000,15.0
530,1.386000,15.0
531,1.386000,15.0
532,1.386000,15.0
533,1.386000,15.0
534,1.386000,15.0
535,1.386000,15.0
536,1.386000,15.0
537,1.386000,15.0
538,1.386000,15.0
539,1.386000,15.0
540,1.386000,15.0
541,1.386000,15.0
542,1.386000,15.0
543,1.386000,15.0
544,1.386000,15.0
545,1.386000,15.0
546,1.386000,15.0
547,1.386000,15.0
548,1.386000,15.0
549,1.386000,15.0
550,1.386000,15.0
551,1.386000,15.0
552,1.386000,15.0
553,1.386000,15.0
554,1.386000,15.0
555,1.386000,15.0
556,1.386000,15.0
557,1.386000,15.0
558,1.386000,15.0
559,1.386000,15.0
560,1.386000,15.0
561,1.386000,15.0
562,1.386000,15.0
563,1.386000,15.0
564,1.386000,15.0
565,1.386000,15.0
566,1.386000,15.0
567,1.386000,15.0
568,1.386000,15.0
569,1.386000,15.0
570,1.386000,15.0
571,1.386000,15.0
572,1.386000,15.0
573,1.386000,15.0
574,1.386000,15.0
575,1.386000,15.0
576,1.386000,15.0
577,1.386000,15.0
578,1.386000,15.0
579,1.386000,15.0
580,1.386000,15.0
581,1.386000,15.0
582,1.386000,15.0
583,1.386000,15.0
584,1.386000,15.0
585,1.386000,15.0
586,1.386000,15.0
587,1.386000,15.0
588,1.386000,15.0
589,1.386000,15.0
590,1.386000,15.0
591,1.386000,15.0
592,1.386000,15.0
593,1.386000,15.0
594,1.386000,15.0
595,1.386000,15.0
596,1.386000,15.0
597,1.386000,15.0
598,1.386000,15.0
599,1.386000,15.0
600,1.386000,15.0
601,1.386000,15.0
602,1.386000,15.0
603,1.386000,15.0
604,1.386000,15.0
605,1.386000,15.0
606,1.386000,15.0
607,1.386000,15.0
608,1.386000,15.0
609,1.386000,15.0
610,1.386000,15.0
611,1.386000,15.0
612,1.386000,15.0
613,1.386000,15.0
614,1.372140,15.0
615,1.372140,15.0
616,1.372140,15.0
617,1.372140,15.0
618,1.372140,15.0
619,1.372140,15.0
620,1.372140,15.0
621,1.372140,15.0
622,1.372140,15.0
623,1.372140,15.0
624,1.372140,15.0
625,1.372140,15.0
626,1.372140,15.0
627,1.372140,15.0
628,1.372140,15.0
629,1.372140,15.0
630,1.372140,15.0
631,1.372140,15.0
632,1.372140,15.0
633,1.372140,15.0
634,1.372140,15.0
635,1.372140,15.0
636,1.372140,15.0
637,1.372140,15.0
638,1.372140,15.0
639,1.372140,15.0
640,1.372140,15.0
641,1.372140,15.0
642,1.372140,15.0
643,1.372140,15.0
644,1.372140,15.0
645,1.372140,15.0
646,1.372140,15.0
647,1.372140,15.0
648,1.372140,15.0
649,1.372140,15.0
650,1.372140,15.0
651,1.372140,15.0
652,1.372140,15.0
653,1.372140,15.0
654,1.372140,15.0
655,1.372140,15.0
656,1.372140,15.0
657,1.372140,15.0
658,1.372140,15.0
659,1.372140,15.0
660,1.372140,15.0
661,1.372140,15.0
662,1.372140,15.0
663,1.372140,15.0
664,1.372140,15.0
665,1.372140,15.0
666,1.372140,15.0
667,1.372140,15.0
668,1.372140,15.0
669,1.372140,15.0
670,1.372140,15.0
671,1.372140,15.0
672,1.372140,15.0
673,1.372140,15.0
674,1.372140,15.0
675,1.372140,15.0
676,1.372140,15.0
677,1.372140,15.0
678,1.372140,15.0
679,1.372140,15.0
680,1.372140,15.0
681,1.372140,15.0
682,1.372140,15.0
683,1.372140,15.0
684,1.372140,15.0
685,1.372140,15.0
686,1.372140,15.0
687,1.372140,15.0
688,1.372140,15.0
689,1.372140,15.0
690,1.372140,15.0
691,1.372140,15.0
692,1.372140,15.0
693,1.372140,15.0
694,1.372140,15.0
695,1.372140,15.0
696,1.372140,15.0
697,1.372140,15.0
698,1.372140,15.0
699,1.372140,15.0
700,1.372140,15.0
701,1.372140,15.0
702,1.372140,15.0
703,1.372140,15.0
704,1.372140,15.0
705,1.372140,15.0
706,1.372140,15.0
707,1.372140,15.0
708,1.372140,15.0
709,1.372140,15.0
710,1.372140,15.0
711,1.372140,15.0
712,1.372140,15.0
713,1.372140,15.0
714,1.372140,15.0
715,1.372140,15.0
716,1.372140,15.0
717,1.372140,15.0
718,1.372140,15.0
719,1.372140,15.0
720,1.372140,15.0
721,1.372140,15.0
722,1.372140,15.0
723,1.372140,15.0
724,1.372140,15.0
725,1.372140,15.0
726,1.372140,15.0
727,1.372140,15.0
728,1.372140,15.0
729,1.372140,15.0
730,1.372140,15.0
731,1.372140,15.0
732,1.372140,15.0
733,1.372140,15.0
734,1.372140,15.0
735,1.372140,15.0
736,1.372140,15.0
737,1.372140,15.0
738,1.372140,15.0
739,1.372140,15.0
740,1.372140,15.0
741,1.372140,15.0
742,1.372140,15.0
743,1.372140,15.0
744,1.372140,15.0
745,1.372140,15.0
746,1.372140,15.0
747,1.372140,15.0
748,1.372140,15.0
749,1.372140,15.0
750,1.372140,15.0
751,1.372140,15.0
752,1.372140,15.0
753,1.372140,15.0
754,1.372140,15.0
755,1.372140,15.0
756,1.372140,15.0
757,1.372140,15.0
758,1.372140,15.0
759,1.372140,15.0
760,1.372140,15.0
761,1.372140,15.0
762,1.372140,15.0
763,1.372140,15.0
764,1.372140,15.0
765,1.372140,15.0
766,1.372140,15.0
767,1.372140,15.0
768,1.372140,15.0
769,1.372140,15.0
770,1.372140,15.0
771,1.372140,15.0
772,1.372140,15.0
773,1.372140,15.0
774,1.372140,15.0
775,1.372140,15.0
776,1.372140,15.0
777,1.372140,15.0
778,1.372140,15.0
779,1.372140,15.0
780,1.372140,15.0
781,1.372140,15.0
782,1.372140,15.0
783,1.372140,15.0
784,1.372140,15.0
785,1.372140,15.0
786,1.372140,15.0
787,1.372140,15.0
788,1.372140,15.0
789,1.372140,15.0
790,1.372140,15.0
791,1.372140,15.0
792,1.372140,15.0
793,1.372140,15.0
794,1.372140,15.0
795,1.372140,15.0
796,1.372140,15.0
797,1.372140,15.0
798,1.372140,15.0
799,1.372140,15.0
800,1.372140,15.0
801,1.372140,15.0
802,1.372140,15.0
803,1.372140,15.0
804,1.372140,15.0
805,1.372140,15.0
806,1.372140,15.0
807,1.372140,15.0
808,1.372140,15.0
809,1.372140,15.0
810,1.372140,15.0
811,1.372140,15.0
812,1.372140,15.0
813,1.372140,15.0
814,1.372140,15.0
815,1.372140,15.0
816,1.372140,15.0
817,1.372140,15.0
818,1.372140,15.0
819,1.372140,15.0
820,1.372140,15.0
821,1.372140,15.0
822,1.372140,15.0
823,1.372140,15.0
824,1.372140,15.0
825,1.372140,15.0
826,1.372140,15.0
827,1.372140,15.0
828,1.372140,15.0
829,1.372140,15.0
830,1.372140,15.0
831,1.372140,15.0
832,1.372140,15.0
833,1.372140,15.0
834,1.372140,15.0
835,1.372140,15.0
836,1.372140,15.0
837,1.372140,15.0
838,1.372140,15.0
839,1.372140,15.0
840,1.372140,15.0
841,1.372140,15.0
842,1.372140,15.0
843,1.372140,15.0
844,1.372140,15.0
845,1.372140,15.0
846,1.372140,15.0
847,1.372140,15.0
848,1.358419,15.0
849,1.358419,15.0
850,1.358419,15.0
851,1.358419,15.0
852,1.358419,15.0
853,1.358419,15.0
854,1.358419,15.0
855,1.358419,15.0
856,1.358419,15.0
857,1.358419,15.0
858,1.358419,15.0
859,1.358419,15.0
860,1.358419,15.0
861,1.358419,15.0
862,1.358419,15.0
863,1.358419,15.0
864,1.358419,15.0
865,1.358419,15.0
866,1.358419,15.0
867,1.358419,15.0
868,1.358419,15.0
869,1.358419,15.0
870,1.358419,15.0
871,1.358419,15.0
872,1.358419,15.0
873,1.358419,15.0
874,1.358419,15.0
875,1.358419,15.0
876,1.358419,15.0
877,1.358419,15.0
878,1.358419,15.0
879,1.358419,15.0
880,1.358419,15.0
881,1.358419,15.0
882,1.358419,15.0
883,1.358419,15.0
884,1.358419,15.0
885,1.358419,15.0
886,1.358419,15.0
887,1.358419,15.0
888,1.358419,15.0
889,1.358419,15.0
890,1.358419,15.0
891,1.358419,15.0
892,1.358419,15.0
893,1.358419,15.0
894,1.358419,15.0
895,1.358419,15.0
896,1.358419,15.0
897,1.358419,15.0
898,1.358419,15.0
899,1.358419,15.0
900,1.358419,15.0
901,1.358419,15.0
902,1.358419,15.0
903,1.358419,15.0
904,1.358419,15.0
905,1.358419,15.0
906,1.358419,15.0
907,1.358419,15.0
908,1.358419,15.0
909,1.358419,15.0
910,1.358419,15.0
911,1.358419,15.0
912,1.358419,15.0
913,1.358419,15.0
914,1.358419,15.0
915,1.358419,15.0
916,1.358419,15.0
917,1.358419,15.0
918,1.358419,15.0
919,1.358419,15.0
920,1.358419,15.0
921,1.358419,15.0
922,1.358419,15.0
923,1.358419,15.0
924,1.358419,15.0
925,1.358419,15.0
926,1.358419,15.0
927,1.358419,15.0
928,1.358419,15.0
929,1.358419,15.0
930,1.358419,15.0
931,1.358419,15.0
932,1.358419,15.0
933,1.358419,15.0
934,1.358419,15.0
935,1.358419,15.0
936,1.358419,15.0
937,1.358419,15.0
938,1.358419,15.0
939,1.358419,15.0
940,1.358419,15.0
941,1.358419,15.0
942,1.358419,15.0
943,1.358419,15.0
944,1.358419,15.0
945,1.358419,15.0
946,1.358419,15.0
947,1.358419,15.0
948,1.358419,15.0
949,1.358419,15.0
950,1.358419,15.0
951,1.358419,15.0
952,1.358419,15.0
953,1.358419,15.0
954,1.358419,15.0
955,1.358419,15.0
956,1.358419,15.0
957,1.358419,15.0
958,1.358419,15.0
959,1.358419,15.0
960,1.358419,15.0
961,1.358419,15.0
962,1.358419,15.0
963,1.358419,15.0
964,1.358419,15.0
965,1.358419,15.0
966,1.358419,15.0
967,1.358419,15.0
968,1.358419,15.0
969,1.358419,15.0
970,1.358419,15.0
971,1.358419,15.0
972,1.358419,15.0
973,1.358419,15.0
974,1.358419,15.0
975,1.358419,15.0
976,1.358419,15.0
977,1.358419,15.0
978,1.358419,15.0
979,1.358419,15.0
980,1.358419,15.0
981,1.358419,15.0
982,1.358419,15.0
983,1.358419,15.0
984,1.358419,15.0
985,1.358419,15.0
986,1.358419,15.0
987,1.358419,15.0
988,1.358419,15.0
989,1.358419,15.0
990,1.358419,15.0
991,1.358419,15.0
992,1.358419,15.0
993,1.358419,15.0
994,1.358419,15.0
995,1.358419,15.0
996,1.358419,15.0
997,1.358419,15.0
998,1.358419,15.0
999,1.358419,15.0
1000,1.358419,15.0
1001,1.358419,15.0
1002,1.358419,15.0
1003,1.358419,15.0
1004,1.358419,15.0
1005,1.358419,15.0
1006,1.358419,15.0
1007,1.358419,15.0
1008,1.358419,15.0
1009,1.358419,15.0
1010,1.358419,15.0
1011,1.358419,15.0
1012,1.358419,15.0
1013,1.358419,15.0
1014,1.358419,15.0
1015,1.358419,15.0
1016,1.358419,15.0
1017,1.358419,15.0
1018,1.358419,15.0
1019,1.358419,15.0
1020,1.358419,15.0
1021,1.358419,15.0
1022,1.358419,15.0
1023,1.358419,15.0
