i,T,Qmin
231,21191.050000,14487.0
232,21191.050000,14487.0
233,21191.050000,14487.0
234,21191.050000,14487.0
235,21191.050000,14487.0
236,21191.050000,14487.0
237,21191.050000,14487.0
238,21191.050000,14487.0
239,21191.050000,14487.0
240,21191.050000,14487.0
241,21191.050000,14487.0
242,21191.050000,14487.0
243,21191.050000,14487.0
244,21191.050000,14487.0
245,21191.050000,14089.0
246,21191.050000,14089.0
247,21191.050000,14089.0
248,21191.050000,14089.0
249,21191.050000,14089.0
250,21191.050000,14089.0
251,21191.050000,14089.0
252,21191.050000,14089.0
253,21191.050000,14089.0
254,21191.050000,14089.0
255,21191.050000,14089.0
256,21191.050000,14089.0
257,21191.050000,14089.0
258,21191.050000,14089.0
259,21191.050000,14089.0
260,21191.050000,14089.0
261,21191.050000,14089.0
262,21191.050000,14089.0
263,21191.050000,14089.0
264,21191.050000,14089.0
265,21191.050000,14089.0
266,21191.050000,14089.0
267,21191.050000,14089.0
268,21191.050000,14089.0
269,21191.050000,14089.0
270,21191.050000,14089.0
271,21191.050000,14089.0
272,21191.050000,14089.0
273,21191.050000,14089.0
274,21191.050000,14089.0
275,21191.050000,14089.0
276,21191.050000,14089.0
277,21191.050000,14089.0
278,21191.050000,14089.0
279,21191.050000,14089.0
280,21191.050000,14089.0
281,21191.050000,14089.0
282,21191.050000,14089.0
283,21191.050000,14089.0
284,21191.050000,14089.0
285,21191.050000,14089.0
286,21191.050000,14089.0
287,21191.050000,14089.0
288,21191.050000,14089.0
289,21191.050000,14089.0
290,21191.050000,14089.0
291,21191.050000,14089.0
292,21191.050000,14089.0
293,21191.050000,14089.0
294,21191.050000,14089.0
295,21191.050000,14089.0
296,21191.050000,14089.0
297,21191.050000,14089.0
298,21191.050000,14089.0
299,21191.050000,14089.0
300,21191.050000,14089.0
301,21191.050000,14089.0
302,21191.050000,14089.0
303,21191.050000,14089.0
304,21191.050000,14089.0
305,21191.050000,14089.0
306,21191.050000,14089.0
307,21191.050000,14089.0
308,21191.050000,14089.0
309,21191.050000,14089.0
310,21191.050000,14089.0
311,21191.050000,14089.0
312,21191.050000,14089.0
313,21191.050000,14089.0
314,21191.050000,14089.0
315,21191.050000,14089.0
316,21191.050000,14089.0
317,21191.050000,14089.0
318,21191.050000,14089.0
319,21191.050000,14089.0
320,21191.050000,14089.0
321,21191.050000,14089.0
322,21191.050000,14089.0
323,21191.050000,14089.0
324,21191.050000,14089.0
325,21191.050000,14089.0
326,21191.050000,14089.0
327,21191.050000,14089.0
328,21191.050000,14089.0
329,21191.050000,14089.0
330,21191.050000,14089.0
331,21191.050000,14089.0
332,21191.050000,14089.0
333,21191.050000,14089.0
334,21191.050000,14089.0
335,21191.050000,14089.0
336,21191.050000,14089.0
337,21191.050000,14089.0
338,21191.050000,14089.0
339,21191.050000,14089.0
340,21191.050000,14089.0
341,21191.050000,14089.0
342,21191.050000,14089.0
343,21191.050000,14089.0
344,21191.050000,14089.0
345,21191.050000,14089.0
346,21191.050000,14089.0
347,21191.050000,14089.0
348,21191.050000,14089.0
349,21191.050000,14089.0
350,21191.050000,14089.0
351,21191.050000,14089.0
352,21191.050000,14089.0
353,21191.050000,14089.0
354,21191.050000,14089.0
355,21191.050000,14089.0
356,21191.050000,14089.0
357,21191.050000,14089.0
358,21191.050000,14089.0
359,21191.050000,14089.0
360,21191.050000,14089.0
361,21191.050000,14089.0
362,21191.050000,14089.0
363,21191.050000,14089.0
364,21191.050000,14089.0
365,21191.050000,14089.0
366,21191.050000,14089.0
367,21191.050000,14089.0
368,21191.050000,14089.0
369,21191.050000,14089.0
370,21191.050000,14089.0
371,21191.050000,14089.0
372,21191.050000,14089.0
373,21191.050000,14089.0
374,21191.050000,14089.0
375,21191.050000,14089.0
376,21191.050000,14089.0
377,21191.050000,14089.0
378,21191.050000,14089.0
379,21191.050000,14089.0
380,21191.050000,14089.0
381,21191.050000,14089.0
382,21191.050000,14089.0
383,21191.050000,14089.0
