i,T,Qmin
398,1.250000,17.0
399,1.250000,17.0
400,1.250000,17.0
401,1.250000,17.0
402,1.250000,17.0
403,1.250000,17.0
404,1.250000,17.0
405,1.250000,17.0
406,1.250000,17.0
407,1.250000,17.0
408,1.250000,17.0
409,1.250000,17.0
410,1.250000,17.0
411,1.250000,17.0
412,1.250000,17.0
413,1.250000,17.0
414,1.250000,17.0
415,1.250000,17.0
416,1.250000,17.0
417,1.250000,17.0
418,1.250000,17.0
419,1.250000,17.0
420,1.250000,17.0
421,1.250000,17.0
422,1.250000,17.0
423,1.250000,17.0
424,1.250000,17.0
425,1.250000,17.0
426,1.250000,17.0
427,1.250000,17.0
428,1.250000,17.0
429,1.250000,17.0
430,1.250000,17.0
431,1.250000,17.0
432,1.250000,17.0
433,1.250000,17.0
434,1.250000,17.0
435,1.250000,17.0
436,1.250000,17.0
437,1.250000,17.0
438,1.250000,17.0
439,1.250000,17.0
440,1.250000,17.0
441,1.250000,17.0
442,1.250000,17.0
443,1.250000,17.0
444,1.250000,17.0
445,1.250000,17.0
446,1.250000,17.0
447,1.250000,17.0
448,1.250000,17.0
449,1.250000,17.0
450,1.250000,17.0
451,1.250000,17.0
452,1.250000,17.0
453,1.250000,17.0
454,1.250000,17.0
455,1.250000,17.0
456,1.250000,17.0
457,1.250000,17.0
458,1.250000,17.0
459,1.250000,17.0
460,1.250000,17.0
461,1.250000,17.0
462,1.250000,17.0
463,1.250000,17.0
464,1.250000,17.0
465,1.250000,17.0
466,1.250000,17.0
467,1.250000,17.0
468,1.250000,17.0
469,1.250000,17.0
470,1.250000,17.0
471,1.250000,17.0
472,1.250000,17.0
473,1.250000,17.0
474,1.250000,17.0
475,1.250000,17.0
476,1.250000,17.0
477,1.250000,17.0
478,1.250000,17.0
479,1.250000,17.0
480,1.250000,17.0
481,1.250000,17.0
482,1.250000,17.0
483,1.250000,17.0
484,1.250000,17.0
485,1.250000,17.0
486,1.250000,17.0
487,1.250000,17.0
488,1.250000,17.0
489,1.250000,16.0
490,1.250000,16.0
491,1.250000,16.0
492,1.250000,16.0
493,1.250000,16.0
494,1.250000,16.0
